Year,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,Master_col,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
2022,28,28,USNews,U. of North Carolina--Chapel Hill,University of North Carolina at Chapel Hill,,public,78,78,4.2,28,96%,90%,91%,1,89%,127,87,46%,12%,15,15 to 1,41,27,33,74%,24%,32,15%
2022,227,227,USNews,U. of North Carolina--Charlotte,University of North Carolina at Charlotte,,public,47,47,2.9,209,83%,62%,65%,3,63%,47,355,25%,25%,20,20 to 1,172,1100,1280,17%,80%,342,3%
2022,239,239,USNews,UNC Greensboro,University of North Carolina at Greensboro,,public,46,46,2.7,260,77%,53%,59%,6,56%,13,315,39%,13%,16,16 to 1,318,980,1160,15%,88%,320,4%
2022,299,299-391,USNews,Union Institute and University ,Union Institute and University,OH,private,,,1.9,,55%,24%,35%,,,343,,,,,,,,,,,,
2022,187,187,USNews,Union University ,Union University,TN,private,51,51,2,152,85%,69%,66%,-3,56%,169,45,76%,0.20%,9,9 to 1,113,22,30,36%,58%,299,3%
2022,299,299-391,USNews,Univ. of Maryland Eastern Shore,"University of Maryland, Eastern Shore",,public,,,2.2,,66%,44%,41%,,38%,36,,77%,2%,,,,840,1010,,62%,,4%
2022,162,162,USNews,Univ. of Maryland--Baltimore County,"University of Maryland, Baltimore County",,public,54,54,3,152,87%,68%,70%,2,65%,232,287,36%,14%,17,17 to 1,137,1150,1350,22%,69%,205,3%
2022,59,59,USNews,Univ. of Maryland--College Park,"University of Maryland, College Park",,public,68,68,3.8,43,95%,88%,87%,-1,82%,312,157,45%,18%,17,17 to 1,46,1270,1480,73%,49%,103,6%
2022,68,68,USNews,Univ. of Massachusetts--Amherst,University of Massachusetts--Amherst,,public,66,66,3.5,84,91%,74%,83%,9,81%,169,75,47%,19%,17,17 to 1,94,1200,1390,34%,65%,109,7%
2022,227,227,USNews,Univ. of Massachusetts--Boston,University of Massachusetts--Boston,,public,47,47,2.8,301,76%,52%,49%,-3,49%,36,247,34%,8%,17,17 to 1,273,1010,1210,15%,80%,163,4%
2022,227,227,USNews,Univ. of Massachusetts--Dartmouth,University of Massachusetts--Dartmouth,,public,47,47,2.7,287,72%,53%,52%,-1,47%,59,117,47%,9%,15,15 to 1,318,990,1190,12%,76%,173,2%
2022,179,179,USNews,Univ. of Massachusetts--Lowell,University of Massachusetts--Lowell,,public,52,52,2.6,183,85%,64%,69%,5,67%,143,216,31%,11%,19,19 to 1,144,1150,1320,25%,75%,173,9%
2022,122,122,USNews,Univ. of Missouri,University of Missouri,,public,58,58,3.3,141,88%,73%,73%,,62%,327,206,41%,15%,18,18 to 1,107,23,30,35%,82%,163,11%
2022,249,249,USNews,Univ. of Missouri--Kansas City,University of Missouri--Kansas City,,public,45,45,2.6,306,75%,63%,54%,-9,43%,242,128,68%,5%,16,16 to 1,158,20,28,33%,63%,223,4%
2022,239,239,USNews,Univ. of Missouri--St. Louis,University of Missouri-St Louis,,public,46,46,2.5,274,77%,59%,56%,-3,46%,100,216,55%,7%,19,19 to 1,154,21,27,38%,58%,284,5%
2022,136,136,USNews,Univ. of Nebraska--Lincoln,University of Nebraska-Lincoln,,public,56,56,3.2,163,84%,69%,67%,-2,57%,242,255,35%,18%,16,16 to 1,137,22,28,30%,78%,147,16%
2022,117,117,USNews,Univ. of South Carolina,University of South Carolina-Columbia,,public,59,59,3.2,100,89%,74%,78%,4,68%,335,206,44%,13%,18,18 to 1,113,1140,1340,28%,68%,205,6%
2022,299,299-391,USNews,Univ. of Southern Mississippi,University of Southern Mississippi,,public,,,2.3,,72%,55%,50%,,40%,153,,32%,17%,,,,19,26,,96%,,6%
2022,42,42,USNews,Univ. of Wisconsin--Madison,University of Wisconsin-Madison,,public,73,73,4.1,39,95%,84%,89%,5,83%,343,107,47%,24%,17,17 to 1,59,27,32,51%,57%,52,14%
2022,299,299-391,USNews,Univ. of Wisconsin--Milwaukee,University of Wisconsin-Milwaukee,,public,,,2.9,,74%,55%,46%,,38%,211,,46%,10%,,,,19,24,12%,97%,,3%
2022,299,299-391,USNews,Universidad Ana G. Mendez--Gurabo Campus ,Universidad Ana G. Mendez--Gurabo Campus,PR,private,,,2,,77%,19%,29%,,,343,,,,,,,,,,,,
2022,172,172,USNews,University at Albany--SUNY,SUNY University at Albany,,public,53,53,2.9,190,82%,59%,65%,6,64%,33,303,28%,19%,19,19 to 1,195,1080,1240,18%,57%,185,6%
2022,93,93,USNews,University at Buffalo--SUNY,University at Buffalo,,public,62,62,3.2,114,87%,66%,75%,9,71%,55,231,37%,20%,14,14 to 1,144,1140,1310,29%,67%,135,10%
2022,299,299-391,USNews,University of Akron ,The University of Akron,OH,public,,,2.3,,73%,56%,53%,,39%,297,,29%,8%,,,,19,26,19%,77%,,2%
2022,148,148,USNews,University of Alabama,The University of Alabama,,public,55,55,3.1,130,87%,77%,72%,-5,56%,385,255,36%,22%,20,20 to 1,91,23,31,45%,80%,267,21%
2022,148,148,USNews,University of Alabama at Birmingham,University of Alabama at Birmingham,,public,55,55,2.9,214,84%,64%,61%,-3,52%,143,157,44%,16%,20,20 to 1,120,22,30,29%,67%,44,5%
2022,263,263,USNews,University of Alabama--Huntsville,University of Alabama in Huntsville,,public,44,44,2.5,260,83%,68%,57%,-11,48%,357,303,31%,9%,19,19 to 1,86,24,31,33%,77%,196,1%
2022,299,299-391,USNews,University of Alaska--Fairbanks,University of Alaska Fairbanks,,public,,,2.6,,74%,61%,40%,,,388,,,,,,,1030,1280,,76%,,
2022,103,103,USNews,University of Arizona,University of Arizona,,public,60,60,3.6,190,83%,68%,65%,-3,59%,143,176,36%,17%,15,15 to 1,124,21,29,35%,85%,81,8%
2022,162,162,USNews,University of Arkansas,University of Arkansas,,public,54,54,3,175,84%,71%,68%,-3,54%,380,189,47%,17%,19,19 to 1,124,23,29,29%,78%,185,16%
2022,299,299-391,USNews,University of Arkansas at Little Rock,University of Arkansas at Little Rock,,public,,,2.4,,69%,52%,40%,,34%,143,,,,,,,18,25,,62%,,
2022,299,299-391,USNews,University of Bridgeport ,University of Bridgeport,CT,private,,,1.9,,69%,41%,43%,,,153,,,,,,,910,1100,,55%,,
2022,22,22,USNews,University of California--Berkeley,"University of California, Berkeley",,public,82,82,4.7,22,97%,91%,92%,1,89%,82,62,55%,21%,19,19 to 1,24,1290,1530,96%,18%,49,8%
2022,38,38,USNews,University of California--Davis,"University of California, Davis",,public,74,74,3.9,48,93%,84%,86%,2,83%,16,189,32%,31%,20,20 to 1,48,1140,1400,100%,46%,32,6%
2022,36,36,USNews,University of California--Irvine,"University of California, Irvine",,public,76,76,3.8,54,94%,80%,85%,5,83%,2,62,51%,23%,18,18 to 1,34,1215,1450,99%,30%,64,7%
2022,20,20,USNews,University of California--Los Angeles,"University of California, Los Angeles",,public,84,84,4.4,25,97%,88%,91%,3,88%,21,34,48%,23%,18,18 to 1,20,1290,1520,97%,14%,18,6%
2022,93,93,USNews,University of California--Merced,"University of California, Merced",,public,62,62,2.9,163,83%,47%,69%,22,68%,4,268,32%,28%,19,19 to 1,337,940,1140,,85%,109,6%
2022,83,83,USNews,University of California--Riverside,"University of California, Riverside",,public,63,63,3.2,100,90%,73%,77%,4,77%,1,303,18%,34%,23,23 to 1,78,1060,1290,94%,66%,116,2%
